Date,GBP_USD
5/3/2007,1.987993
5/4/2007,1.976089
5/7/2007,1.993501
5/8/2007,1.989614
5/9/2007,1.993382
5/10/2007,1.97961
5/11/2007,1.982711
5/14/2007,1.979101
5/15/2007,1.986018
5/16/2007,1.977418
5/17/2007,1.974801
5/18/2007,1.975309
5/21/2007,1.971609
5/22/2007,1.975114
5/23/2007,1.986295
5/24/2007,1.985388
5/25/2007,1.984915
5/28/2007,1.983183
5/29/2007,1.980002
5/30/2007,1.976402
5/31/2007,1.979806
6/1/2007,1.980982
6/4/2007,1.991596
6/5/2007,1.993382
6/6/2007,1.992191
6/7/2007,1.978005
6/8/2007,1.970482
6/11/2007,1.969396
6/12/2007,1.974801
6/13/2007,1.972815
6/14/2007,1.969706
6/15/2007,1.976793
6/18/2007,1.983812
6/19/2007,1.987597
6/20/2007,1.99231
6/21/2007,1.992905
6/22/2007,1.997603
6/25/2007,1.998202
6/26/2007,1.998401
6/27/2007,1.9996
6/28/2007,2.002203
6/29/2007,2.008314
7/2/2007,2.017797
7/3/2007,2.016983
7/4/2007,2.01621
7/5/2007,2.012194
7/6/2007,2.011992
7/9/2007,2.014789
7/10/2007,2.027411
7/11/2007,2.032314
7/12/2007,2.029592
7/13/2007,2.034795
7/16/2007,2.036784
7/17/2007,2.047712
7/18/2007,2.053683
7/19/2007,2.048886
7/20/2007,2.057021
7/23/2007,2.059308
7/24/2007,2.061898
7/25/2007,2.053093
7/26/2007,2.047879
7/27/2007,2.024619
7/30/2007,2.028315
7/31/2007,2.029386
8/1/2007,2.031983
8/2/2007,2.036618
8/3/2007,2.042817
8/6/2007,2.031405
8/7/2007,2.022286
8/8/2007,2.037282
8/9/2007,2.022981
8/10/2007,2.022081
8/13/2007,2.011992
8/14/2007,1.997005
8/15/2007,1.986808
8/16/2007,1.985309
8/17/2007,1.982003
8/20/2007,1.988585
8/21/2007,1.980708
8/22/2007,1.995012
8/23/2007,2.003205
8/24/2007,2.013612
8/27/2007,2.009
8/28/2007,2.0006
8/29/2007,2.01678
8/30/2007,2.014383
8/31/2007,2.017186
9/3/2007,2.017715
9/4/2007,2.01418
9/5/2007,2.020406
9/6/2007,2.025111
9/7/2007,2.028603
9/10/2007,null
9/11/2007,2.033181
9/12/2007,2.029592
9/13/2007,2.017593
9/14/2007,2.006702
9/17/2007,1.994018
9/18/2007,2.013409
9/19/2007,2.0006
9/20/2007,2.010616
9/21/2007,2.020406
9/24/2007,2.020692
9/25/2007,2.018897
9/26/2007,2.015601
9/27/2007,2.026794
9/28/2007,2.046203
10/1/2007,2.044321
10/2/2007,2.039984
10/3/2007,2.032603
10/4/2007,2.038611
10/5/2007,2.043694
10/8/2007,2.035416
10/9/2007,2.037697
10/10/2007,2.041816
10/11/2007,2.034215
10/12/2007,2.034298
10/15/2007,2.0424
10/16/2007,2.03219
10/17/2007,2.039984
10/18/2007,2.044195
10/19/2007,2.051492
10/22/2007,2.032686
10/23/2007,2.050315
10/24/2007,2.050105
10/25/2007,2.050904
10/26/2007,2.051703
10/29/2007,2.061091
10/30/2007,2.067996
10/31/2007,2.07978
11/1/2007,2.077793
11/2/2007,2.085593
11/5/2007,2.081079
11/6/2007,2.087421
11/7/2007,2.099782
11/8/2007,2.108192
11/9/2007,2.09468
11/12/2007,2.054401
11/13/2007,2.074818
11/14/2007,2.052798
11/15/2007,2.044405
11/16/2007,2.052419
11/19/2007,2.04939
11/20/2007,2.066116
11/21/2007,2.063515
11/22/2007,2.062408
11/23/2007,2.061091
11/26/2007,null
11/27/2007,2.067611
11/28/2007,2.078786
11/29/2007,2.062919
11/30/2007,2.056682
12/3/2007,2.063898
12/4/2007,2.058799
12/5/2007,2.027287
12/6/2007,2.028398
12/7/2007,2.031818
12/10/2007,2.04499
12/11/2007,2.035789
12/12/2007,2.045492
12/13/2007,2.042817
12/14/2007,2.02012
12/17/2007,2.021386
12/18/2007,null
12/19/2007,null
12/20/2007,1.983891
12/21/2007,1.983301
12/24/2007,1.978513
12/25/2007,1.977418
12/26/2007,1.984206
12/27/2007,1.995012
12/28/2007,1.993302
12/31/2007,1.98661
1/1/2008,1.987716
1/2/2008,1.981807
1/3/2008,1.9741
1/4/2008,1.975816
1/7/2008,1.966994
1/8/2008,1.971803
1/9/2008,1.957483
1/10/2008,1.961592
1/11/2008,1.959401
1/14/2008,1.954385
1/15/2008,1.958289
1/16/2008,1.962901
1/17/2008,1.968388
1/18/2008,null
1/21/2008,null
1/22/2008,null
1/23/2008,1.956985
1/24/2008,1.9782
1/25/2008,1.98059
1/28/2008,1.984915
1/29/2008,1.989298
1/30/2008,1.983615
1/31/2008,1.990604
2/1/2008,1.966491
2/4/2008,1.974801
2/5/2008,1.964791
2/6/2008,1.960784
2/7/2008,1.942804
2/8/2008,1.947116
2/11/2008,1.949888
2/12/2008,1.960208
2/13/2008,1.962208
2/14/2008,1.969784
2/15/2008,1.9614
2/18/2008,1.950801
2/19/2008,1.948216
2/20/2008,1.942502
2/21/2008,1.963788
2/22/2008,1.966917
2/25/2008,1.966607
2/26/2008,1.987281
2/27/2008,1.983183
2/28/2008,1.989891
2/29/2008,1.98661
3/3/2008,1.983891
3/4/2008,1.985585
3/5/2008,1.991794
3/6/2008,2.012113
3/7/2008,2.014018
3/10/2008,2.008395
3/11/2008,2.006018
3/12/2008,2.027
3/13/2008,2.03252
3/14/2008,2.019998
3/17/2008,1.997284
3/18/2008,2.009485
3/19/2008,1.983694
3/20/2008,1.984796
3/21/2008,1.983301
3/24/2008,1.987795
3/25/2008,2.002603
3/26/2008,2.007387
3/27/2008,2.006783
3/28/2008,1.994893
3/31/2008,1.984206
4/1/2008,null
4/2/2008,1.987795
4/3/2008,1.994893
4/4/2008,1.994615
4/7/2008,1.98819
4/8/2008,1.966414
4/9/2008,1.973983
4/10/2008,1.971609
4/11/2008,1.982318
4/14/2008,1.976206
4/15/2008,1.961592
4/16/2008,1.971414
4/17/2008,1.990208
4/18/2008,1.998082
4/21/2008,1.980904
4/22/2008,1.996367
4/23/2008,1.978396
4/24/2008,1.972698
4/25/2008,1.983301
4/28/2008,1.99112
4/29/2008,1.967613
4/30/2008,1.987795
5/1/2008,null
5/2/2008,1.971492
5/5/2008,1.972931
5/6/2008,1.97336
5/7/2008,1.952706
5/8/2008,1.955722
5/9/2008,1.954385
5/12/2008,1.955608
5/13/2008,1.946396
5/14/2008,1.946586
5/15/2008,1.947609
5/16/2008,1.956717
